Probe id	Gene name	Entrez gene id	Chromosome	Start	End	Cytoband	RefSeq(mRNA)	RefSeq(protein)	miRNA Accession #	MirBase Name	BR:MCF7	BR:MDA-MB-231	BR:HS 578T	BR:BT-549	BR:T-47D	CNS:SF-268	CNS:SF-295	CNS:SF-539	CNS:SNB-19	CNS:SNB-75	CNS:U251	CO:COLO 205	CO:HCC-2998	CO:HCT-116	CO:HCT-15	CO:HT29	CO:KM12	CO:SW-620	LE:CCRF-CEM	LE:HL-60(TB)	LE:K-562	LE:MOLT-4	LE:RPMI-8226	LE:SR	ME:LOX IMVI	ME:MALME-3M	ME:M14	ME:SK-MEL-2	ME:SK-MEL-28	ME:SK-MEL-5	ME:UACC-257	ME:UACC-62	ME:MDA-MB-435	ME:MDA-N	LC:A549/ATCC	LC:EKVX	LC:HOP-62	LC:HOP-92	LC:NCI-H226	LC:NCI-H23	LC:NCI-H322M	LC:NCI-H460	LC:NCI-H522	OV:IGROV1	OV:OVCAR-3	OV:OVCAR-4	OV:OVCAR-5	OV:OVCAR-8	OV:SK-OV-3	OV:NCI/ADR-RES	PR:PC-3	PR:DU-145	RE:786-0	RE:A498	RE:ACHN	RE:CAKI-1	RE:RXF 393	RE:SN12C	RE:TK-10	RE:UO-31
hsa-miR-200b	-	-	1	1102484	1102578	-	-	-	MI0000342	hsa-mir-200b	3.531	-2.199	-4.277	-3.802	3.944	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	6.07	5.611	2.548	3.775	5.218	5.506	3.551	-3.545	-3.167	-1.38	-3.201	0.609	-2.26	0.432	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-0.572	1.314	-2.692	1.268	-0.464	-3.916	3.915	-3.176	-3.903	1.087	4.279	3.663	3.925	0.007	1.672	-0.224	1.361	2.45	3.61	1.974	2.159	2.183	3.893	-4.549	3.405	3.11
hsa-miR-200b*	-	-	1	1102484	1102578	-	-	-	MI0000342	hsa-mir-200b	-2.775	-3.529	-4.41	-3.802	-2.327	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	0.045	-0.149	-2.773	-1.531	-0.881	-0.557	-2.198	-3.14	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.594	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-4.374	-3.916	-2.325	-3.176	-3.903	-4.028	-1.542	-2.88	-2.205	-3.661	-3.045	-3.929	-3.366	-3.412	-2.486	-2.894	-3.255	-3.599	-1.673	-4.549	-2.478	-2.733
hsa-miR-200a	-	-	1	1103243	1103332	-	-	-	MI0000737	hsa-mir-200a	2.526	-3.529	-4.41	-3.802	2.715	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	4.586	4.324	1.7	2.547	4.455	3.962	2.213	-3.545	-3.167	-1.38	-3.201	-1.363	-2.26	-0.668	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.26	0.064	-3.497	-0.456	-1.592	-3.916	2.605	-3.176	-3.903	0.018	1.248	1.557	2.045	-1.147	-0.407	-2.39	-0.471	1.973	1.434	-0.286	1.723	1.343	1.899	-4.549	1.343	2.573
hsa-miR-200a*	-	-	1	1103243	1103332	-	-	-	MI0000737	hsa-mir-200a	-2.841	-3.529	-4.41	-3.802	-2.805	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-0.682	-0.627	-3.261	-2.339	-1.285	-0.837	-3.241	-3.533	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-4.374	-3.916	-2.84	-3.176	-3.903	-4.028	-2.444	-3.13	-2.5	-3.661	-3.045	-3.929	-3.366	-4.032	-2.749	-2.894	-3.705	-4.132	-2.187	-4.549	-2.65	-3.324
hsa-miR-429	-	-	1	1104385	1104467	-	-	-	MI0001641	hsa-mir-429	2.047	-3.529	-4.41	-3.802	2.846	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	4.025	2.782	1.158	1.7	3.731	3.656	1.621	-3.545	-3.167	-1.38	-3.201	-2.053	-2.26	-2.139	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.584	-0.353	-3.497	-1.135	-2.718	-3.916	2.667	-3.176	-3.903	-0.742	1.763	2.03	2.355	-2.994	-0.688	-2.919	-0.851	0.408	2.035	-0.658	-0.598	-0.063	1.738	-4.549	1.079	1.068
hsa-miR-34a	-	-	1	9211727	9211836	-	-	-	MI0000268	hsa-mir-34a	1.958	-1.521	-1.935	-1.838	3.419	-3.639	-3.093	-3.008	0.491	-2.728	-1.91	2.111	-3.615	1.656	0.255	1.25	0.047	-2.446	-3.545	-3.167	-1.38	0.478	0.437	2.715	1.587	4.013	-3.129	0.171	3.74	3.084	5	2.635	-3.228	-3.244	3.109	0.064	0.407	1.74	3.04	3.445	2.342	1.559	-3.83	2.974	0.603	0.991	0.294	-3.06	-3.045	-2.52	-1.737	0.266	-0.387	2.672	3.003	1.583	2.736	-4.326	3.418	2.853
hsa-miR-34a*	-	-	1	9211727	9211836	-	-	-	MI0000268	hsa-mir-34a	-3.695	-3.529	-4.41	-3.802	-2.187	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.366	-3.615	-3.021	-3.453	-4.097	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-3.534	-2.564	-3.98	-3.673	-2.446	-2.916	-0.864	-2.44	-3.228	-3.532	-2.643	-4.328	-3.497	-3.606	-1.819	-1.575	-3.412	-3.126	-3.903	-1.614	-3.07	-3.454	-3.785	-3.661	-3.045	-3.929	-3.366	-4.34	-3.624	-2.894	-1.815	-3.104	-3.318	-4.549	-2.501	-1.894
hsa-miR-30e	-	-	1	41220027	41220118	-	-	-	MI0000749	hsa-mir-30e	1.179	1.082	0.021	0.356	1.553	0.702	0.51	0.421	0.469	1.551	0.919	1.515	0.882	0.973	0.971	0.75	0.618	0.911	2.039	2.948	1.417	2.275	1.793	0.763	0.477	0.551	1.341	0.665	0.857	0.481	0.919	0.543	0.554	0.191	0.659	1.797	0.558	0.74	1.265	1.167	1.217	0.376	1.712	0.989	0.321	1.512	0.097	0.708	0.518	0.451	1.19	0.6	-0.103	0.688	1.526	0.794	-0.072	1.257	1.349	1.273
hsa-miR-30e*	-	-	1	41220027	41220118	-	-	-	MI0000749	hsa-mir-30e	-1.88	-0.523	-2.557	-2.063	-1.451	-1.598	-1.956	-2.012	-1.903	-0.437	-1.172	-2.323	-2.616	-2.081	-2.242	-3.353	-2.652	-2.327	-0.69	-0.536	-1.279	0.009	-1.724	-1.644	-2.271	-2.739	-1.45	-2.427	-1.85	-2.476	-2.088	-2.236	-1.455	-1.842	-1.745	-0.892	-0.792	-1.189	-1.147	-2.004	-1.56	-2.763	-0.114	0.305	-1.14	-0.83	-2.362	-1.151	-0.366	-1.901	-2.194	-2.286	-1.937	-1.927	0.519	-0.228	-2.457	-0.783	-0.293	0.095
hsa-miR-30c	-	-	1	41222956	41223044	-	-	-	MI0000736	hsa-mir-30c-1	1.035	2.616	-0.077	1.665	1.852	1.615	0.688	0.353	0.722	2.24	1.917	0.918	0.027	0.712	0.978	-0.039	-0.218	0.589	2.11	2.743	0.311	1.303	0.703	-0.191	0.738	-0.253	1.272	0.193	0.119	-0.339	0.641	1.23	0.213	0.1	0.869	1.394	1.869	1.001	1.795	1.259	1.656	1.046	2.508	3.712	1.979	2.388	0.831	2.17	2.829	1.681	0.455	1.058	1.004	1.038	3.681	3.1	0.49	2.173	2.786	3.384
