	ID	Name	Parameter	Reference
AGE	AGE	Patient age	Patient information	"Information from Stinson, et al., (Anticancer Res. 1992 Jul-Aug;12(4):1035-53), DTP, ATCC, and other sources."
IS_EPITHELIAL	IS_EPITHELIAL	EPITHELIAL Status	Epithelial  phenotype	"Kohn et al, 2014 PLOS"
IS_P53_MUT	IS_P53_MUT	P53 mutation status		"p53 status as determined by yeast growth functional assay: PM O'Conner, et al. (Cancer Res. 1997 Oct 1;57(19):4285-300)."
MDR	MDR	Multi-drug resistance (mdr) functional assay	Drug response phenotype	"MDR Function: from DTP site (Lee JS etal., Mol Pharmacol. 1994 Oct;46(4):627-38)."
DOUBLING_TIME	DOUBLING_TIME	DOUBLING_TIME	Cell line phenotype	Doubling times described at NCI/DTP site.
KOHN_EMT_PC1	KOHN_EMT_PC1	KOHN_EMT_PC1		"1st Principal Component of Non-Hematopoietic Cell Line Expression Data Matrix for ~38 EMT Genes; For EMT gene set details, see PMID: 24940735."
Modal_chromosomal_number	Modal_chromosomal_number	Modal chromosomal number	Genomic instability	" Roschke et al, 2003 Cancer Res (table1)"
Number_structurally_rearange_chromosomes	Number_structurally_rearange_chromosomes	 # of structurally rearanged chromosomes	Genomic instability	" Roschke et al, 2003 Cancer Res (figure2)"
Numerical_complexity	Numerical_complexity	Numerical complexity	Genomic instability	" Roschke et al, 2003 Cancer Res (figure1)"
Numerical_heterogeneity	Numerical_heterogeneity	Numerical heterogeneity	Genomic instability	" Roschke et al, 2003 Cancer Res (figure2)"
Fraction_normal.chromosomes_with_numerical_heterogeneity	Fraction_normal.chromosomes_with_numerical_heterogeneity	Fraction of normal chromosomes that experience numerical heterogeneity	Genomic instability	" Roschke et al, 2003 Cancer Res (table2)"
Fraction_abnormal.chromosomes_with_numerical_heterogeneity	Fraction_abnormal.chromosomes_with_numerical_heterogeneity	Fraction of abnormal chromosomes that experience numerical heterogeneity.	Genomic instability	" Roschke et al, 2003 Cancer Res (table2)"
Structural_heterogeneity	Structural_heterogeneity	Structural heterogeneity	Genomic instability	" Roschke et al, 2003 Cancer Res (figure2B)"
proportion_genomic_gains	proportion_genomic_gains	proportion of genomic gains.	Genomic instability	" Varma et al, 2014, PLOS ONE, Table 1"
proportion_genomic_losses	proportion_genomic_losses	proportion of genomic losses.	Genomic instability	" Varma et al, 2014, PLOS ONE, Table 1"
proportion_genomic_gain_and_losses	proportion_genomic_gain_and_losses	proportion of genomic gains and losses.	Genomic instability	"Varma et al, 2014, PLOS ONE, Table 1"
