""	"nsc"	"name"	"testing_status"	"mechanism"	"pubchem_id"	"smiles"	"total_probes"	"total_good_probes"
"764043"	764043	"(+)-JQ1"	"Clinical trial"	"BRD"	-1	"Cc1sc2c(C(=N[C@@H](CC(=O)OC(C)(C)C)c3nnc(C)n23)c4ccc(Cl)cc4)c1C"	2	2
"755400"	755400	"Masitinib"	"Clinical trial"	"PK:YK,PDGFR,FGFR,KIT"	-1	"CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nc(cs4)c5cccnc5)c3)CC1"	1	1
"759659"	759659	"Navitoclax"	"Clinical trial"	"Apo|BCL2"	-1	"CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7"	2	2
"762064"	762064	"Navitoclax"	"Clinical trial"	"Apo|BCL2"	-1	"CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7"	2	2
"752840"	752840	"Veliparib"	"Clinical trial"	"PARP|PARP1"	-1	"C[C@@]1(CCCN1)c2nc3c(cccc3[nH]2)C(=O)N"	3	1
"756647"	756647	"Quizartinib"	"Clinical trial"	"PK:YK,PDGFR,FLT,KIT,FLT3"	-1	"CC(C)(C)c1onc(NC(=O)Nc2ccc(cc2)c3cn4c5ccc(OCCN6CCOCC6)cc5sc4n3)c1"	2	2
"767006"	767006	"AEW-541"	"Clinical trial"	"PK:YK,IGF1R"	-1	"Nc1ncnc2c1c(cn2[C@@H]3C[C@H](CN4CCC4)C3)c5cccc(OCc6ccccc6)c5"	2	2
"760843"	760843	"Motesanib"	"Clinical trial"	"PK:YK,PDGFR,KIT,VEGFR,RET"	-1	"CC1(C)CNc2cc(NC(=O)c3cccnc3NCc4ccncc4)ccc12"	1	1
"758007"	758007	"Tivozanib"	"Clinical trial"	"PK:YK,MET,PDGFR,FGFR,KIT,VEGFR,FLT3"	-1	"COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC"	4	4
"756652"	756652	"Linsitinib"	"Clinical trial"	"PK:YK,IGF1R"	-1	"C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26"	2	2
"773394"	773394	"AT-7519"	"Clinical trial"	"RNA polymerase I|PK:CDK,CDK4,CDK6"	-1	"C(=O)(c1c(c[nH]n1)NC(=O)c1c(cccc1Cl)Cl)NC1CCNCC1"	2	2
"755762"	755762	"Luminespib"	"Clinical trial"	"HSP90"	-1	"CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3"	2	2
"758872"	758872	"Saracatinib"	"Clinical trial"	"PK:YK,FYN,LYN,FGFR,SRC,BLK,LCK,YES1"	-1	"CN1CCN(CCOc2cc(OC3CCOCC3)c4c(Nc5c(Cl)ccc6OCOc56)ncnc4c2)CC1"	4	4
