""	"NSC"	"NAME"	"SMILES"	"CONFIDENTIAL_FLAG"	"MOA"	"FDA_STATUS"	"TOTAL_EXPS"	"TOTAL_EXPS_AFTER_QC"	"PUBCHEM_SID"	"CAS"
"1"	1	"tolylquinone"	"CC1=CC(=O)C=CC1=O"	0	NA	NA	3	2	"66954"	"553979"
"17"	17	"4-Amino-3-pentadecylphenol"	"CCCCCCCCCCCCCCCc1cc(O)ccc1N"	0	""	""	3	3	"219123"	"3158552"
"89"	89	"(dimethylamino)propiophenone hydrochloride"	"CN(C)CCC(=O)c1ccccc1"	0	NA	NA	3	2	"538184"	"879721"
"185"	185	"Cactinomycin"	"C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2"	0	NA	NA	2	1	"67121"	"66819"
"295"	295	"2-Phenylbutyric Acid"	"OC(=O)CCCc1ccccc1"	0	""	""	2	1	"4775"	"1821121"
"353"	353	"chloro-9-[[3-(diethylamino)propyl]amino]-2-methoxyacridi..."	"CCN(CC)CCCNc1c2ccc(Cl)cc2nc3ccc(OC)cc13"	0	""	""	1	1	"24180741"	"5336652"
"384"	384	"7-chloro-9-[[3-(dipentylamino)propyl]amino]-1,2,3,4-tetr..."	"CCCCCN(CCCCC)CCCNc1c2CCCCc2nc3ccc(Cl)cc13"	0	""	""	1	1	"54599265"	"5336889"
"534"	534	"acetoxyphenanthrylmercury"	"[R][Hg]OC(=O)C.c1ccc2c(c1)ccc3ccccc23"	0	""	""	2	2	"16685698"	NA
"596"	596	"3-bromo-2,4,6-trinitrotoluene"	"Cc1c(cc(c(Br)c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]"	0	""	""	1	1	"219376"	"5333095"
"629"	629	"bioxiran"	"C1OC1C2CO2"	0	""	""	1	1	"11254"	"1464535"
"721"	721	"isatin thiosemicarbazone"	"NC(=S)N\N=C\1/C(=O)Nc2ccccc12"	0	""	""	2	1	"690109"	"487161"
"739"	739	"aminopterin"	"Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1"	0	"DHFR"	""	2	2	"-1"	"54626"
"740"	740	"Methotrexate"	"CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O"	0	"Df|DHFR"	"FDA approved"	143	76	"126941"	"59052"
"742"	742	"azaserin"	"NC(COC(=O)C=[N+]=[N-])C(=O)O"	0	""	""	5	2	"460129"	"115026"
"749"	749	"8-Azaguanine"	"NC1=NC(=O)c2[nH]nnc2N1"	0	NA	NA	4	4	"538242"	"134587"
"752"	752	"6-Thioguanine"	"NC1=NC(=S)c2[nH]cnc2N1"	0	"Ds|IMPDH2|IMPDH"	"FDA approved"	138	113	"-1"	"154427"
"755"	755	"6-Mercaptopurine"	"S=C1N=CNc2nc[nH]c12"	0	"Ds|PPAT"	"FDA approved"	135	97	"-1"	"50442"
"757"	757	"Colchicine"	"COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C"	0	"TUBB"	"FDA approved"	14	7	"-1"	"64868"
"762"	762	"Nitrogen mustard"	"CN(CCCl)CCCl"	0	"A7|AlkAg"	"FDA approved"	60	48	"-1"	"55867"
"798"	798	"3-phenyl-1-(2-pyridyl)-2-propen-1-one"	"O=C(\C=C\c1ccccc1)c2ccccn2"	0	NA	NA	1	1	"67675"	"5337531"
"830"	830	"4-Pyridineacrylic acid"	"OC(=O)\C=C\c1ccncc1"	0	""	""	1	1	"736782"	"5337791"
"885"	885	"3,3'-diamino-4,4'-bis(dimethylamino)benzophenone"	"CN(C)c1ccc(cc1N)C(=O)c2ccc(N(C)C)c(N)c2"	0	NA	NA	3	2	"67752"	"5340238"
"1010"	1010	"7-[.alpha.-(p-nitroanilino)benzyl]-8-quinolinol"	"Oc1c(ccc2cccnc12)C(Nc3ccc(cc3)[N+](=O)[O-])c4ccccc4"	0	""	""	2	1	"219563"	"5335966"
"1011"	1011	"p-[[.alpha.-(8-hydroxy-7-quinolyl)benzyl]amino]benzoic acid"	"OC(=O)c1ccc(NC(c2ccccc2)c3ccc4cccnc4c3O)cc1"	0	""	""	2	2	"219564"	"5335977"
"1012"	1012	"wln: t66 bnj iyr&mr bvq& jq"	"OC(=O)c1ccccc1NC(c2ccccc2)c3ccc4cccnc4c3O"	0	""	""	2	1	"95307"	"5394354"
"1013"	1013	"7-(.alpha.-anilino-p-nitrobenzyl)-8-quinolinol"	"Oc1c(ccc2cccnc12)C(Nc3ccccc3)c4ccc(cc4)[N+](=O)[O-]"	0	""	""	2	2	"219565"	NA
"1014"	1014	"7-[.alpha.-[(4-methyl-2-pyridyl)amino]benzyl]-8-quinolinol"	"Cc1ccnc(NC(c2ccccc2)c3ccc4cccnc4c3O)c1"	0	""	""	1	1	"219566"	"5335988"
"1026"	1026	"acpc"	"NC1(CCCC1)C(=O)O"	0	""	""	5	2	"2901"	"52528"
"1027"	1027	"1,1,3-Tribromo-3-methyl-2-butanone"	"CC(C)(Br)C(=O)C(Br)Br"	0	""	""	3	2	"219573"	"1578058"
"1063"	1063	"6-Chloro-2-methoxy-9-[(5-piperidinopentyl)amino]acridine"	"COc1ccc2nc3cc(Cl)ccc3c(NCCCCCN4CCCCC4)c2c1"	0	""	""	1	1	"219600"	NA
"1199"	1199	"2-(Isobornyloxy)-1,1-dimethylethylamine"	"CC(C)(N)CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C"	0	""	""	1	1	"219648"	"5396214"
"1338"	1338	"N-Decyl-2-iodoacetamide"	"CCCCCCCCCCNC(=O)CI"	0	""	""	2	2	"219690"	"5348787"
"1390"	1390	"Allopurinol"	"O=C1NC=Nc2[nH]ncc12"	0	"AM|XDH"	"FDA approved"	4	2	"-1"	"315300"
"1393"	1393	"pyrazoloadenine"	"Nc1ncnc2[nH]ncc12"	0	""	""	2	2	"75420"	"2380634"
"1433"	1433	"4-(butylamino)-1-phenyl-1h-pyrazolo[3,4-d]pyrimidine"	"CCCCNc1ncnc2c1cnn2c3ccccc3"	0	""	""	2	2	"219760"	"68380529"
"1460"	1460	"Tryptazan"	"NC(Cc1n[nH]c2ccccc12)C(=O)O"	0	""	""	1	1	"95318"	"526307"
"1482"	1482	"2-(2-Methyl-2-nitropropoxy)bornane"	"CC(C)(CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C)[N+](=O)[O-]"	0	NA	NA	1	1	"68285"	NA
"1507"	1507	"2-Chloro-3-phenoxy-1,4-naphthoquinone"	"ClC1=C(Oc2ccccc2)C(=O)c3ccccc3C1=O"	0	""	""	2	1	"219799"	"71369170"
"1760"	1760	"3-Phenanthrenepropionic acid, hydrazide"	"NNC(=O)CCc1ccc2ccc3ccccc3c2c1"	0	""	""	1	1	"219939"	"5345879"
"1771"	1771	"Thiram"	"CN(C)C(=S)SSC(=S)N(C)C"	0	NA	NA	2	2	"68535"	"137268"
"1797"	1797	"o-Aminoazotoluene"	"Cc1ccccc1N=Nc2ccc(N)c(C)c2"	0	NA	NA	1	1	"68559"	"97563"
"1895"	1895	"Guanazole"	"Nc1n[nH]c(N)n1"	0	"A7"	""	10	2	"15078"	"1455772"
"1906"	1906	"pmp (van)"	"SC(=S)N1CCCCC1"	0	NA	NA	4	2	"68634"	"98771"
"1910"	1910	"alkarsodyl"	"C[As](=O)(C)O"	0	NA	NA	2	1	"538399"	"124652"
"1945"	1945	"Gluconic acid, barium salt"	"OCC(O)C(O)C(O)C(O)C(=O)O"	0	""	""	1	1	"5351603"	"5328416"
"2012"	2012	"1-Dodecyl-4-nonylpyridinium chloride"	"CCCCCCCCCCCC[n+]1ccc(CCCCCCCCC)cc1"	0	""	""	1	1	"24180869"	NA
"2013"	2013	"declid"	"OC(=O)CCCCCCCCC=C"	0	NA	NA	5	2	"68715"	"112389"
"2039"	2039	"oxin"	"Oc1cccc2cccnc12"	0	NA	NA	1	1	"68737"	"148243"
"2053"	2053	"tris(4-biphenylyl)methanol"	"OC(c1ccc(cc1)c2ccccc2)(c3ccc(cc3)c4ccccc4)c5ccc(cc5)c6ccccc6"	0	""	""	1	1	"219999"	"5341140"
