"nsc","prefix","pubchem_id","total_probes","total_good_probes","name","testing_status","smiles","confidential_flag","mechanism"
17647,"S",-1,1,1,"",NA,"CC(CCC1=C(C)CCCC1(C)C)NCc2ccc(OCCCN3CCCCC3)cc2",0,NA
17652,"S",-1,1,1,"N-methyl-N-(4-(3-(pyrrolidin-1-yl)propoxy)benzyl)-4-(2,6...",NA,"CC(CCC1=C(C)CCCC1(C)C)N(C)Cc2ccc(OCCCN3CCCC3)cc2",0,NA
19502,"S",-1,1,1,"",NA,"CC(=O)OCc1oc([Hg]Cl)cc1",0,NA
19646,"S",-1,2,2,"WLN: T66 BNJ BO C1 ENW",NA,"Cc1cc(c2ccccc2[n+]1[O-])[N+](=O)[O-]",0,NA
20535,"S",-1,1,1,"",NA,"CCN(CC)CCCNc1ccc(C)c2Sc3ccccc3C(=O)c12",0,NA
21531,"S",-1,1,1,"",NA,"COc1ccc(cc1)C2(Cl)c3ccccc3N(c4ccccc4)c5ccccc25",0,NA
22227,"S",-1,2,2,"",NA,"ClC1=C(Cl)C2(Cl)C3C(C(=O)N([Hg]c4cccs4)C3=O)C1(Cl)C2(Cl)Cl",0,NA
22600,"S",-1,1,1,"",NA,"COc1cc(\C=C/[N+](=O)[O-])ccc1OCc2ccccc2",0,NA
23676,"S",-1,1,1,"",NA,"CC(C)N(Cc1ccc(CN(C(C)C)C(=O)CCl)cc1)C(=O)CCl",0,NA
24799,"S",-1,1,1,"",NA,"ClC(C(Cl)c1ccccc1)C(=O)c2ccccc2",0,NA
25434,"S",-1,2,2,"",NA,"COc1ccc2N(C(C=Cc2c1)C#N)C(=O)c3ccccc3",0,NA
25463,"S",-1,1,1,"Rubremetinium chloride",NA,"CCC1C[N+]2=C(c3cc(OC)c(OC)cc3CC2)c4c1cc5c6cc(OC)c(OC)cc6CCn45",0,NA
27102,"S",-1,1,1,"Usaf bv-11",NA,"Oc1c(cccc1[N+](=O)[O-])C(=O)Nc2ccc(I)cc2",0,NA
27103,"S",-1,1,1,"",NA,"Oc1ccc(cc1C(=O)Nc2ccc(I)cc2)[N+](=O)[O-]",0,NA
28430,"S",-1,2,2,"",NA,"Brc1ccc(cc1)N=NC(C#N)C#N",0,NA
28566,"S",-1,1,1,"",NA,"COc1ccc2nc3cc(Cl)ccc3c(NCCCNCCC(C)O)c2c1",0,NA
28567,"S",-1,1,1,"",NA,"COc1cc2nc3cc(ccc3c(NCCNCC(C)O)c2cc1OC)[N+](=O)[O-]",0,NA
28568,"S",-1,1,1,"",NA,"COc1cc2nc3cc(ccc3c(NCCNCC(C)(C)O)c2cc1OC)[N+](=O)[O-]",0,NA
28569,"S",-1,1,1,"",NA,"COc1cc2nc3cc(ccc3c(NCCCNCCO)c2cc1OC)[N+](=O)[O-]",0,NA
30083,"S",-1,2,2,"",NA,"CCCCCCCCCCN=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C",0,NA
30417,"S",-1,1,1,"",NA,"C(CCOc1ccccc1C2CCCCC2)CCN3CCNCC3",0,NA
30659,"S",-1,1,1,"",NA,"CCCCCCCCCCCCc1ccc(cc1)C(=O)\C=C\C(=O)O",0,NA
31692,"S",-1,2,2,"",NA,"CC(=O)\C(=C/c1ccc(Cl)cc1)\c2ccccc2",0,NA
31711,"S",-1,1,1,"2-Allyl-4-(6-chloro-2-methoxyacridin-9-ylamino)-6-((diet...",NA,"CCN(CC)Cc1cc(Nc2c3ccc(Cl)cc3nc4ccc(OC)cc24)cc(CC=C)c1O",0,NA
31778,"S",-1,2,2,"",NA,"[Cl-].[Cl-].CCN(CC)c1ccc(\C=C\C2=[N+](C)c3ccccc3C2(C)C)c(C)c1",0,NA
31779,"S",-1,2,2,"",NA,"CN1\C(=C/C(I)C(I)C2=[N+](C)c3ccccc3C2(C)C)\C(C)(C)c4ccccc14",0,NA
32149,"S",-1,1,1,"",NA,"C(c1c2ccccc2cc3c1ccc4ccccc34)[n+]5ccccc5",0,NA
32927,"S",-1,1,1,"n-Hexadecyltrimethylammonium bromide",NA,"CCCCCCCCCCCCCCCC[N+](C)(C)C",0,NA
33413,"S",-1,1,1,"",NA,"CCCCC(CC)COC(=O)C[N+](C)(C)CCOC(c1ccccc1)c2ccccc2",0,NA
33423,"S",-1,1,1,";ANTINEOPLASTIC-33423",NA,"COc1ccc(cc1NCS(=O)(=O)O)\[As]=[As]\c2ccc(OC)c(NCS(=O)(=O)O)c2",0,NA
33467,"S",-1,2,2,"",NA,"CCN(CC)c1ccc(\C=C\c2ccc3cc(C)ccc3[n+]2CC)cc1",0,NA
33553,"S",-1,1,1,"",NA,"CN(C)CC(C(=O)c1ccccc1)c2ccc(C)cc2",0,NA
33690,"S",-1,2,2,"Benzo[a]heptalen-9(5H)-one, 7-acetamido-10-(diethylamino...",NA,"CCN(CC)C1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C",0,NA
33759,"S",-1,1,1,"",NA,"Oc1ccc(Br)cc1\C=N\NC(=O)c2ccncc2",0,NA
