	ID	Name	Parameter	Reference
APM	APM	Antigen Presentation Machinery (APM) transcript expression	Antigen presentation machinery signature	"Wang et al, eLIFE, 2019. PMID: 31767055"
DOUBLING_TIME	DOUBLING_TIME	Doubling time	Cell line phenotype	Doubling times described at NCI/DTP site.
gammaH2AX	gammaH2AX	gammaH2AX	DNA damage marker	PMID 28158293
Total_H2AX	Total_H2AX	Total_H2AX	DNA damage marker	PMID 28158293
Ratio_gX_TotX	Ratio_gX_TotX	Ratio_gX_TotX	DNA damage marker	PMID 28158293
BRAF_mutation	BRAF_mutation	BRAF mutational status.	Drug response	"Data is from CellMiner \ Genetic variant summation \ protein function affecting, (https://discover.nci.nih.gov/cellminer/)."
Pan_compound_response	Pan_compound_response	Pan compound response	Drug response phenotype	"Reinhold et al, 2014, PLOS ONE (figure 4B)"
H_K_NRAS_activation_pattern	H_K_NRAS_activation_pattern	"H, K, and NRAS composite activation pattern."	Drug response phenotype	"Reinhold et al, Clinical Cancer Res, 2015 (Figure 4)"
MDR	MDR	Multi-drug resistance (mdr) functional assay	Drug response phenotype	"MDR Function: from DTP site (Lee JS etal., Mol Pharmacol. 1994 Oct;46(4):627-38)."
EGFR_ERBB2_pathway	EGFR_ERBB2_pathway	EGFR-ERBB2 pathway	Drug response phenotype	"Reinhold et al, PLOS One, 2014 (Figure 7)"
SLFN11_transcript_expression	SLFN11_transcript_expression	SLFN11 transcript expression	Drug response phenotype	SLFN11 transcript expression is associated with increased drug activity for DNA damaging agents.
ATAD5_mutation	ATAD5_mutation	ATAD5 mutation	Drug response phenotype	ATAD5 mutation  is associated with increased drug activity for DNA damaging agents.
CDH1_transcript_expression	CDH1_transcript_expression	E-cadherin (CDH1) transcript expression.	Epithelial marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
CLDN3_transcript_expression	CLDN3_transcript_expression	Claudin 3 (CLDN3) transcript expression.	Epithelial marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
CLDN4_transcript_expression	CLDN4_transcript_expression	Claudin 4 (CLDN4) transcript expression.	Epithelial marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
CDH1_protein_expression	CDH1_protein_expression	E-cadherin (CDH1) protein expression measured by antibody CDH1_21.	Epithelial marker	protein mean values from cellminer http://discover.nci.nih.gov/cellminer
EMT	EMT	Composite epithelial mesenchymal. 	Epithelial mesenchymal status	"1st Principal Component of Non-Hematopoietic Cell Line Expression Data Matrix for ~38 EMT Genes; For EMT gene set details, see PMID: 24940735."
Modal_chromosomal_number	Modal_chromosomal_number	Cytogenetics; Modal chromosomal number	Genomic instability	"Roschke et al, 2003 Cancer Res (table1)"
Number_structurally_rearanged_chromosomes	Number_structurally_rearanged_chromosomes	Cytogenetics; # of structurally rearanged chromosomes	Genomic instability	"Roschke et al, 2003 Cancer Res (figure2)"
Numerical_complexity	Numerical_complexity	Cytogenetics; Numerical complexity	Genomic instability	"Roschke et al, 2003 Cancer Res (figure1)"
Numerical_heterogeneity	Numerical_heterogeneity	Cytogenetics; Numerical heterogeneity	Genomic instability	"Roschke et al, 2003 Cancer Res (figure2)"
Fraction_normal_chromosomes_with_numerical_heterogeneity	Fraction_normal_chromosomes_with_numerical_heterogeneity	Cytogenetics; Fraction of normal chromosomes that experience numerical heterogeneity	Genomic instability	"Roschke et al, 2003 Cancer Res (table2)"
Fraction_abnormal_chromosomes_with_numerical_heterogeneity	Fraction_abnormal_chromosomes_with_numerical_heterogeneity	Cytogenetics; Fraction of abnormal chromosomes that experience numerical heterogeneity.	Genomic instability	"Roschke et al, 2003 Cancer Res (table2)"
