nsc	name	testing_status	mechanism
1	tolylquinone		
17	4-AMINO-3-PENTADECYLPHENOL		
89	(dimethylamino)propiophenone hydrochloride		
185	Cactinomycin		
295	2-Phenylbutyric Acid		
353	CHLORO-9-[[3-(DIETHYLAMINO)PROPYL]AMINO]-2-METHOXYACRIDI...		
384	"7-CHLORO-9-[[3-(DIPENTYLAMINO)PROPYL]AMINO]-1,2,3,4-TETR..."		
534	ACETOXYPHENANTHRYLMERCURY		
596	"3-BROMO-2,4,6-TRINITROTOLUENE"		
629	Bioxiran		
721	isatin thiosemicarbazone		
739	AMINOPTERIN		
740	METHOTREXATE	FDA approved	Df|DHFR
742	azaserin		
749	8-Azaguanine		
752	6-THIOGUANINE	FDA approved	Ds|IMPDH2|IMPDH
755	6-MERCAPTOPURINE	FDA approved	Ds|PPAT
757	Colchicine		Tu
762	Nitrogen mustard	FDA approved	A7|AlkAg
798	3-PHENYL-1-(2-PYRIDYL)-2-PROPEN-1-ONE		
830	4-Pyridineacrylic acid		
885	"3,3'-DIAMINO-4,4'-BIS(DIMETHYLAMINO)BENZOPHENONE"		
1010	7-[.ALPHA.-(P-NITROANILINO)BENZYL]-8-QUINOLINOL		
1011	P-[[.ALPHA.-(8-HYDROXY-7-QUINOLYL)BENZYL]AMINO]BENZOIC ACID		
1012	wln: t66 bnj iyr&mr bvq& jq		
1013	7-(.ALPHA.-ANILINO-P-NITROBENZYL)-8-QUINOLINOL		
1014	7-[.ALPHA.-[(4-METHYL-2-PYRIDYL)AMINO]BENZYL]-8-QUINOLINOL		
1026	acpc		
1027	"1,1,3-TRIBROMO-3-METHYL-2-BUTANONE"		
1063	6-CHLORO-2-METHOXY-9-[(5-PIPERIDINOPENTYL)AMINO]ACRIDINE		
1199	"2-(ISOBORNYLOXY)-1,1-DIMETHYLETHYLAMINE"		
1338	N-DECYL-2-IODOACETAMIDE		
1390	Allopurinol	FDA approved	AM|XDH
1393	Pyrazoloadenine		
1433	"4-(BUTYLAMINO)-1-PHENYL-1H-PYRAZOLO[3,4-D]PYRIMIDINE"		
1460	tryptazan		
1482	2-(2-METHYL-2-NITROPROPOXY)BORNANE		
1507	"2-CHLORO-3-PHENOXY-1,4-NAPHTHOQUINONE"		
1760	"3-PHENANTHRENEPROPIONIC ACID, HYDRAZIDE"		
1771	Thiram		
1797	o-Aminoazotoluene		
1895	GUANAZOLE		A7
1906	pmp (van)		
1910	Alkarsodyl		
1945	"GLUCONIC ACID, BARIUM SALT"		
2012	1-DODECYL-4-NONYLPYRIDINIUM CHLORIDE		
2013	declid		
2039	oxin		
2053	TRIS(4-BIPHENYLYL)METHANOL		
2061	3-(2-furyl)acrolein		
2186	thymophthalein		
2384	"2,6-dibenzylidenecyclohexanone"		
2604	D.b.t.c.		
2626	Propyl Gallate		
2724	phenyl p-tolyl sulfone		
2755	avlon		
2785	QAICTYKDANKDKI-UHFFFAOYSA-N		
2805	"2,2',5,5'-Tetrahydroxy-4,4'-dimethylbiphenyl"		
2829	vetol		
3039	SODIUM PHENYLACETATE		
3053	Actinomycin D	FDA approved	Db
3055	puromycin		
3060	Potassium arsenite		
3061	malacid		
3062	Etoprine		
3073	facid		
3074	Chlorazin		
3077	D 54		
3080	d 69		
3081			
3082	x 49		
3083	"1-(3-Chlorophenyl)-2-hexyl-2H-1,3,5-triazine-4,6-diamine;hydrochloride"		
3088	Chlorambucil	FDA approved	A7|AlkAg
3090	badil		
3091	Methyl green		
3093	crude pyronine b		
3094	PDMT		
3262	"2,5-Bis(ethylamino)hydroquinone"		
3265			
3284	wln: t6nj c- bt5ktj a1 a2- at5ktj a1 b- ct6nj &q 2 &i 2		
3298	"Phenol, 2-methoxy-4-(2-nitropropenyl)-"		
3424	quinacrine mustard		
3531	clioquinol		
3618	"4-N-(7-Chloroquinolin-4-yl)-1-N-cyclohexylcyclohexane-1,4-diamine"		
3628			
3799	AI3-08904		
3808	"2,4-dinitrobromobenzene"		
3840	Chloro-(5-chlorothiophen-2-yl)mercury		
3847	1-(5-Bromo-4-nitrothiophen-2-yl)propan-1-one		
3852	Hydron III		
3877			
3905	tripyridyl		
3907	"benzoic acid, 2-hydroxy-, compd. with 8-quinolinol (1:1)..."		
3927	thiolutin		
3941			
3970	pyrod		
4045	auramin		
4060	urson		
4112	Fenticlor		
4114	Morpholine-N-dithiocarbamate		
4170	kipca		
4184	"p,p'-Dihydroxystilbene"		
4232	"3-[(2-Oxo-1,2-diphenylethyl)amino]benzoic acid"		
4236	4m2o		
4238	2m2m		
4239	4m2m		
4265	Phenanthroline hydrochloride		
4272	5-methylphenanthroline		
4280	neocuproin		
4281	"4,7-Dimethyl-o-phenanthroline"		
4285	STK862428		
4290	1-[2-(4-Nitrophenyl)-2-oxoethyl]-4-pentylpyridin-1-ium bromide		
4291	Masoprocol		
4320	strophanthin		
4375	Hydroxychloroquine Sulfate		
4378	1-[7-Chloro-2-(4-chlorophenyl)quinolin-4-yl]-2-(diethylamino)ethanol;hydrochloride		
4432	genacryl pink g		
4434	nabor orange r		
4483	omadine sodium		
4512	2-Iodo-3-(phenylsulfonyl)propanenitrile		
4518	Bis(4-amino-3-bromophenyl)methanone		
4582	"(1Z,4E)-1,5-Bis(5-bromo-2-hydroxyphenyl)penta-1,4-dien-3-one"		
4623	"1h-imidazole-4,5-dicarboxylic acid, 2-phenyl- (9ci)"		
4644	Betulin		
4681	2-[4-(Carboxymethoxy)phenoxy]acetic acid		
4698			
4722	aloin		
4728	Aminothiadiazole		
4810			
4844	"N-Benzyl-N,N-dimethylhexadecan-1-aminium hexafluorophosphate"		
4857	dedc		
4896	quinalizarin		
4911	Thioinosine		
4972	tbhq		
5006	C.I. 42510 acetate		
5011	Brilliant Green		
5019	violet bnp		
5031	"d-glucopyranose, pentakis[3,4-dihydroxy-5-[(3,4,5-trihyd..."		
5048	magneson ii		
5053	tptz		
5062	allyliodourotropine		
5066	"2,4-Dihydroxy-6-methyl-4'-nitroazobenzene"		
5113	POMIFERIN		
5159	chartreusin		
5192	"5,6-Chrysenedione"		
5200	py 40		
5206	"1-(3-Bromophenyl)-2-undecyl-2H-1,3,5-triazine-4,6-diamine hydrochloride"		
5278	olpizan		
5283	chlorotriethyltin		
5332	pan (van)		
5337	vancide 26		
5347	(o-carboxyphenylthio)acetic acid		
5355	Berberal		
5364	cinchonidine		
5366	Noscapine		
5417	"1-naphthalenol, 4-nitroso- (9ci)"		
5418	"p-Nitroso-N,N-diethylaniline"		
5425	"9,10-phenanthrenedione, 2-nitro- (9ci)"		
5485	"1,3-Bis(7-chloroquinolin-4-ylamino)propan-2-ol"		
5491	Ethyl red		
5550	Malachite green oxalate		
5551	wln: t b566 ck esj c1 d1u1r dn1&1 &i		
5620	"2,2'-(2-Oxo-3,4-dihydro-2h-1,4-benzothiazine-3,3-diyl)diacetic acid"		
5639	phenylbenzophenone		
5648	thonzide		
5703	"5-(3,4,5-Trimethoxyphenyl)[1,3]dioxolo[4,5-g]isoquinoline"		
5705	"Methyl 8-hydroxy-5-(3,4,5-trimethoxyphenyl)benzo[f][1,3]benzodioxole-6-carboxylate"		
5816	wln: gr dmyus&mvr		
5889	l-Usnic acid		
5890	D-Usnic acid		
5896	Sodium;5-[(6-methoxyquinolin-8-yl)diazenyl]quinolin-8-ol		
5907	Acetic acid;6-methoxy-4-[(E)-2-(6-methoxyquinolin-4-yl)ethenyl]quinoline		
5908	"9-(6-Methoxy-3,4-dihydro-2H-quinolin-1-yl)acridine"		
5920	"4-[[4-(Dimethylamino)phenyl]methyl]-6-[(6-methoxyquinolin-8-yl)diazenyl]-1-N,1-N-dimethylbenzene-1,3-diamine"		
6145	"1,2-Dibenzoylbenzene"		
6152	Chrysarobin		
6171	cineol		
6176	cinchonine		
6266	dibenzoylmethane		
6278	2-aminonaphthiazole		
6386	bialamicol		
6396	Thiotepa	FDA approved	A7
6477	nf 23		
6777	ALBB-024793		
6814	erucic acid		
6883	72I9A2I712		
6891	"N-(4-Bromophenyl)-3,4-dichlorobenzamide"		
6926			
