Experiment Name	Probe Name	mirbase_name	accession	BR:MCF7	BR:MDA_MB_231	BR:HS578T	BR:BT_549	BR:T47D	CNS:SF_268	CNS:SF_295	CNS:SF_539	CNS:SNB_19	CNS:SNB_75	CNS:U251	CO:COLO205	CO:HCC_2998	CO:HCT_116	CO:HCT_15	CO:HT29	CO:KM12	CO:SW_620	LE:CCRF_CEM	LE:HL_60	LE:K_562	LE:MOLT_4	LE:RPMI_8226	LE:SR	ME:LOXIMVI	ME:MALME_3M	ME:M14	ME:SK_MEL_2	ME:SK_MEL_28	ME:SK_MEL_5	ME:UACC_257	ME:UACC_62	ME:MDA_MB_435	ME:MDA_N	LC:A549	LC:EKVX	LC:HOP_62	LC:HOP_92	LC:NCI_H226	LC:NCI_H23	LC:NCI_H322M	LC:NCI_H460	LC:NCI_H522	OV:IGROV1	OV:OVCAR_3	OV:OVCAR_4	OV:OVCAR_5	OV:OVCAR_8	OV:SK_OV_3	OV:NCI_ADR_RES	PR:PC_3	PR:DU_145	RE:786_0	RE:A498	RE:ACHN	RE:CAKI_1	RE:RXF_393	RE:SN12C	RE:TK_10	RE:UO_31
RNA: Agilent Human miRNA (V2)	hsa-let-7a	hsa-let-7a-1	MI0000060	5.78223	6.80613	6.36882	5.26004	5.96059	6.13307	6.46914	6.02034	6.14966	6.75152	5.98574	5.28473	5.53941	5.01273	6.13299	5.71844	5.59437	4.45621	4.13945	5.56753	3.25477	6.69342	5.33822	5.1575	5.3867	6.05263	5.21388	5.51092	5.9959	5.35463	5.2252	5.20674	6.08902	6.11443	5.87831	5.03331	7.24138	6.34742	5.34675	4.96182	5.32933	4.2913	5.60288	4.4935	5.43717	5.8465	5.85222	5.05289	7.50441	5.80522	7.77225	4.99826	6.04844	5.53907	4.02198	4.80808	5.50419	5.35821	5.8311	4.867
RNA: Agilent Human miRNA (V2)	hsa-let-7a(2)	hsa-let-7a-2	MI0000061	5.78223	6.80613	6.36882	5.26004	5.96059	6.13307	6.46914	6.02034	6.14966	6.75152	5.98574	5.28473	5.53941	5.01273	6.13299	5.71844	5.59437	4.45621	4.13945	5.56753	3.25477	6.69342	5.33822	5.1575	5.3867	6.05263	5.21388	5.51092	5.9959	5.35463	5.2252	5.20674	6.08902	6.11443	5.87831	5.03331	7.24138	6.34742	5.34675	4.96182	5.32933	4.2913	5.60288	4.4935	5.43717	5.8465	5.85222	5.05289	7.50441	5.80522	7.77225	4.99826	6.04844	5.53907	4.02198	4.80808	5.50419	5.35821	5.8311	4.867
RNA: Agilent Human miRNA (V2)	hsa-let-7a(3)	hsa-let-7a-3	MI0000062	5.78223	6.80613	6.36882	5.26004	5.96059	6.13307	6.46914	6.02034	6.14966	6.75152	5.98574	5.28473	5.53941	5.01273	6.13299	5.71844	5.59437	4.45621	4.13945	5.56753	3.25477	6.69342	5.33822	5.1575	5.3867	6.05263	5.21388	5.51092	5.9959	5.35463	5.2252	5.20674	6.08902	6.11443	5.87831	5.03331	7.24138	6.34742	5.34675	4.96182	5.32933	4.2913	5.60288	4.4935	5.43717	5.8465	5.85222	5.05289	7.50441	5.80522	7.77225	4.99826	6.04844	5.53907	4.02198	4.80808	5.50419	5.35821	5.8311	4.867
RNA: Agilent Human miRNA (V2)	hsa-let-7a*	hsa-let-7a-1	MI0000060	-4.00187	-3.52926	-3.94772	-3.80239	-3.41228	-3.48907	-3.06416	-3.86184	-4.30556	-3.38297	-3.05452	-3.64656	-3.61457	-3.39764	-3.03782	-4.11624	-3.68703	-4.20351	-3.54526	-3.16745	-1.37984	-3.20055	-2.90483	-2.26044	-4.2572	-3.34473	-3.45097	-3.67336	-2.60742	-3.21253	-3.36034	-4.56645	-3.22795	-3.08513	-2.89084	-4.32847	-3.4968	-3.60636	-4.06682	-3.91625	-4.28534	-3.1765	-3.90315	-3.74759	-3.0705	-3.45364	-3.7852	-3.57383	-3.04477	-3.92938	-3.36612	-3.87382	-3.62418	-2.89402	-3.92232	-3.84207	-3.49615	-2.96879	-3.162	-3.49833
RNA: Agilent Human miRNA (V2)	hsa-let-7a*(2)	hsa-let-7a-3	MI0000062	-4.00187	-3.52926	-3.94772	-3.80239	-3.41228	-3.48907	-3.06416	-3.86184	-4.30556	-3.38297	-3.05452	-3.64656	-3.61457	-3.39764	-3.03782	-4.11624	-3.68703	-4.20351	-3.54526	-3.16745	-1.37984	-3.20055	-2.90483	-2.26044	-4.2572	-3.34473	-3.45097	-3.67336	-2.60742	-3.21253	-3.36034	-4.56645	-3.22795	-3.08513	-2.89084	-4.32847	-3.4968	-3.60636	-4.06682	-3.91625	-4.28534	-3.1765	-3.90315	-3.74759	-3.0705	-3.45364	-3.7852	-3.57383	-3.04477	-3.92938	-3.36612	-3.87382	-3.62418	-2.89402	-3.92232	-3.84207	-3.49615	-2.96879	-3.162	-3.49833
RNA: Agilent Human miRNA (V2)	hsa-let-7b	hsa-let-7b	MI0000063	4.23196	4.23796	5.7976	4.3711	2.36863	5.09845	5.68546	5.00247	5.32154	6.06709	5.34191	4.1073	4.93036	3.43189	5.54889	4.86956	4.82795	3.77529	2.10265	3.39604	-1.24166	4.95862	3.7815	3.17105	1.25142	5.54691	4.30654	3.04075	5.2558	4.09116	3.40029	3.35253	4.96487	4.89539	4.35277	3.52475	6.36177	3.70311	4.22913	2.03821	3.86079	3.08944	3.90492	2.73267	4.61328	5.59081	5.28145	4.40184	7.3548	5.27966	6.61034	3.69259	5.45115	5.08623	3.35598	3.55731	4.94357	4.02067	3.86801	3.79592
RNA: Agilent Human miRNA (V2)	hsa-let-7c	hsa-let-7c	MI0000064	2.83601	2.70138	4.05892	2.97867	1.26477	3.52368	4.4207	3.75572	4.02292	5.08569	4.10811	2.22807	2.93962	1.68832	3.99371	2.6766	2.59745	2.34941	0.41691	1.81064	-1.37984	2.20916	2.75868	0.48907	0.94036	3.03253	2.99921	2.53731	2.68286	2.14625	1.69956	2.24253	2.59202	2.39791	2.31388	1.51041	4.44431	1.67335	2.84215	1.56376	1.80477	2.01948	4.81703	1.47631	4.78075	3.53515	2.78778	3.04926	4.54927	3.16174	4.17341	2.6683	2.97932	3.42022	2.13003	2.98558	2.14673	3.20851	1.63161	2.88421
RNA: Agilent Human miRNA (V2)	hsa-let-7d	hsa-let-7d	MI0000065	4.34641	4.14174	2.80451	2.94228	0.05688	3.29515	2.30547	3.67077	3.35296	3.20291	2.64205	3.01521	3.54782	3.01163	3.44682	3.67268	3.39159	2.43206	1.90405	3.95838	-1.37984	4.48567	3.61416	4.00778	0.71951	3.7888	2.69749	3.07664	3.05418	3.46495	0.93651	1.44835	3.80105	3.54391	2.35552	3.23322	3.4466	1.20478	2.78424	3.6398	3.97422	2.34515	3.62812	1.57616	3.9034	3.26277	3.68875	2.36648	4.15536	2.42306	4.2917	3.03214	3.53627	2.88115	1.78033	2.28158	3.21034	2.52794	4.18045	2.16899
RNA: Agilent Human miRNA (V2)	hsa-let-7d*	hsa-let-7d	MI0000065	-3.55197	-3.13859	-4.41023	-3.44713	-3.41228	-3.41039	-3.09348	-3.86184	-4.30556	-3.69773	-3.20248	-3.64656	-3.61457	-3.12736	-3.17788	-3.7676	-3.68703	-4.38761	-3.54526	-3.07782	-0.27992	-3.01904	-2.27857	-2.26044	-4.2572	-3.34473	-3.97961	-3.11811	-2.60742	-3.17306	-2.59785	-3.56693	-3.22795	-1.48642	-2.30578	-4.32847	-3.4968	-3.60636	-4.37408	-3.84983	-3.78269	-3.1765	-2.48545	-4.02758	-2.71799	-2.60835	-3.7852	-3.66053	-3.04477	-2.56082	-3.22542	-3.93738	-3.04225	-2.82964	-3.96246	-3.74956	-3.49615	-3.67534	-2.5107	-3.99791
RNA: Agilent Human miRNA (V2)	hsa-let-7e	hsa-let-7e	MI0000066	3.83021	3.35848	2.88329	2.2353	2.84281	1.96232	2.88269	3.45092	3.05033	3.94108	2.57262	-2.89295	0.66794	1.59975	2.697	3.40077	-0.02295	0.58769	-3.54526	-1.92	1.94031	-2.53549	-2.90483	-2.26044	-3.79502	2.15076	2.27765	2.13217	2.26285	1.27794	2.01577	1.14416	2.37012	2.14555	3.96273	3.54677	4.14207	3.59742	3.80973	4.12096	3.81379	0.51999	2.28225	1.68909	3.77712	4.44282	3.05453	1.99615	4.5909	3.22008	3.98784	1.04977	3.70278	3.44406	1.44408	1.48586	3.91341	1.96691	3.51373	1.71581
